source,target,value
Concept_39,Concept_40,10
Concept_39,Concept_41,10
Concept_39,Concept_42,10
Concept_16,Concept_17,10
Concept_16,Concept_15,10
Concept_15,Concept_14,10
Concept_32,Concept_33,10
Concept_32,Concept_37,10
